Name,Comp_Class,Type
Isoterchebin,ellagitannins,
mallotinic acid,ellagitannins,
Methyl brevifolincarboxylate,phenol,
NP-005114,ellagitannins,
pedunculagin,ellagitannins,
pedunculagin II,ellagitannins,
punicalagin - STD,ellagitannins,
Punicalagin - STD,ellagitannins,
Punicalagin A - STD,ellagitannins,
Punicalagin B - STD,ellagitannins,
Punicalagin A,ellagitannins,
Punicalagin B,ellagitannins,
punicalin - STD,ellagitannins,
Punicalin - STD,ellagitannins,
TELLIMAGRANDIN I,ellagitannins,
Terminalin,ellagitannins,
Ellagic acid - standard_list,ellagitannins,
Penta-O-galloyl-<U+03B2>-D-glucose hydrate(PGG) - standard_list,galloylglucose,
Gallagyl-hex (punicalin) - standard_list,ellagitannins,
HHDP-gallagyl-hex (punicalagin) - standard_list,ellagitannins,
Gallic acid - standard_list,phenol,
"6-O-[(2E)-3-Phenyl-2-propenoyl]-1-O-(3,4,5-trihydroxybenzoyl)-?-D-glucopyranose",galloylglucose,G_lignin
"6-O-[(2E)-3-(4-Hydroxyphenyl)-2-propenoyl]-1-O-(3,4,5-trihydroxybenzoyl)hexopyranose",galloylglucose,G_lignin
Pedunculagin - STD,ellagitannins,
pedunculagin - STD,ellagitannins,
Punicalagin A - STD,ellagitannins,
Punicalagin B - STD,ellagitannins,
"(10aR,11R,12aR,25aR,25bS)-2,3,4,5,6,7,17,18,19,20,21,22-Dodecahydroxy-9,15,24,27-tetraoxo-9,10a,11,12a,13,15,24,25a,25b,27-decahydrodibenzo[g,i]dibenzo[6',7':8',9'][1,4]dioxecino[2',3':4,5]pyrano[3,2-
b][1,5]dioxacycloundecin-11-yl 2-{5-[({(11aR,13R,14R,15S,15aR)-2,3,4,5,6,7-hexahydroxy-9,17-dioxo-14,15-bis[(3,4,5-trihydroxybenzoyl)oxy]-9,11,11a,13,14,15,15a,17-octahydrodibenzo[g,i]pyrano[3,2-b][1,
5]dioxacycloundecin-13-yl}oxy)carbonyl]-2,3-",ellagitannins,
7-Hydroxy-3-(4-hydroxyphenyl)-4-oxo-4H-chromen-8-yl hexopyranoside,isoflavone,
Genistein,isoflavone,
tectoridin,isoflavone,
(+)-leucopelargonidin,leucoanthocyanidin,
Leuco-fisetinidin,leucoanthocyanidin,
Leucocianidol,leucoanthocyanidin,
"4-[(1S,3aR,4S,6aR)-4-(4-hydroxy-3-methoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol",lignans,Pinoresinol
"5-[4-(3-hydroxy-4-methoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol",lignans,Sesamin_Pinoresinol
4-O-Pentopyranosylpentopyranose,monosaccharide,
D-(-)-Fructose,monosaccharide,
D-(-)-Mannitol,monosaccharide,
D-(+)-Glucose,monosaccharide,
Hexose,monosaccharide,
Methyl Î±-D-glucofuranoside,monosaccharide,
(±)-Mandelic Acid,phenol,
[(3E)-6-Methyl-3-hepten-1-yl]benzene,phenol,
1-(3-Phenypropyl)piperazine,phenol,
